Model,Split,Metric,Class,Value
deeplab,train,Precision,Unknown,0.975
deeplab,train,Precision,Artificial,0.893
deeplab,train,Precision,Woodland,0.905
deeplab,train,Precision,Arable,0.956
deeplab,train,Precision,Frygana,0.888
deeplab,train,Precision,Bareland,0.914
deeplab,train,Precision,Water,0.946
deeplab,train,Precision,Permanent,0.904
deeplab,train,Recall,Unknown,0.052
deeplab,train,Recall,Artificial,0.925
deeplab,train,Recall,Woodland,0.91
deeplab,train,Recall,Arable,0.97
deeplab,train,Recall,Frygana,0.928
deeplab,train,Recall,Bareland,0.859
deeplab,train,Recall,Water,0.98
deeplab,train,Recall,Permanent,0.856
deeplab,train,F1,Unknown,0.099
deeplab,train,F1,Artificial,0.909
deeplab,train,F1,Woodland,0.907
deeplab,train,F1,Arable,0.963
deeplab,train,F1,Frygana,0.907
deeplab,train,F1,Bareland,0.885
deeplab,train,F1,Water,0.963
deeplab,train,F1,Permanent,0.879
deeplab,test,Precision,Unknown,0.0
deeplab,test,Precision,Artificial,0.862
deeplab,test,Precision,Woodland,0.813
deeplab,test,Precision,Arable,0.84
deeplab,test,Precision,Frygana,0.62
deeplab,test,Precision,Bareland,0.638
deeplab,test,Precision,Water,0.991
deeplab,test,Precision,Permanent,0.905
deeplab,test,Recall,Unknown,0.0
deeplab,test,Recall,Artificial,0.889
deeplab,test,Recall,Woodland,0.842
deeplab,test,Recall,Arable,0.836
deeplab,test,Recall,Frygana,0.73
deeplab,test,Recall,Bareland,0.548
deeplab,test,Recall,Water,0.793
deeplab,test,Recall,Permanent,0.634
deeplab,test,F1,Unknown,0.0
deeplab,test,F1,Artificial,0.875
deeplab,test,F1,Woodland,0.827
deeplab,test,F1,Arable,0.838
deeplab,test,F1,Frygana,0.67
deeplab,test,F1,Bareland,0.59
deeplab,test,F1,Water,0.881
deeplab,test,F1,Permanent,0.746
deeplab,lowres,Precision,Unknown,0.0
deeplab,lowres,Precision,Artificial,0.235
deeplab,lowres,Precision,Woodland,0.676
deeplab,lowres,Precision,Arable,0.477
deeplab,lowres,Precision,Frygana,0.669
deeplab,lowres,Precision,Bareland,0.607
deeplab,lowres,Precision,Water,0.192
deeplab,lowres,Precision,Permanent,0.194
deeplab,lowres,Recall,Unknown,0.0
deeplab,lowres,Recall,Artificial,0.828
deeplab,lowres,Recall,Woodland,0.179
deeplab,lowres,Recall,Arable,0.204
deeplab,lowres,Recall,Frygana,0.726
deeplab,lowres,Recall,Bareland,0.226
deeplab,lowres,Recall,Water,0.331
deeplab,lowres,Recall,Permanent,0.418
deeplab,lowres,F1,Unknown,0.0
deeplab,lowres,F1,Artificial,0.366
deeplab,lowres,F1,Woodland,0.282
deeplab,lowres,F1,Arable,0.286
deeplab,lowres,F1,Frygana,0.697
deeplab,lowres,F1,Bareland,0.329
deeplab,lowres,F1,Water,0.243
deeplab,lowres,F1,Permanent,0.265
unet_no_patches,train,Precision,Unknown,0.211
unet_no_patches,train,Precision,Artificial,0.825
unet_no_patches,train,Precision,Woodland,0.829
unet_no_patches,train,Precision,Arable,0.937
unet_no_patches,train,Precision,Frygana,0.932
unet_no_patches,train,Precision,Bareland,0.847
unet_no_patches,train,Precision,Water,0.929
unet_no_patches,train,Precision,Permanent,0.801
unet_no_patches,train,Recall,Unknown,0.553
unet_no_patches,train,Recall,Artificial,0.924
unet_no_patches,train,Recall,Woodland,0.891
unet_no_patches,train,Recall,Arable,0.893
unet_no_patches,train,Recall,Frygana,0.788
unet_no_patches,train,Recall,Bareland,0.837
unet_no_patches,train,Recall,Water,0.983
unet_no_patches,train,Recall,Permanent,0.927
unet_no_patches,train,F1,Unknown,0.305
unet_no_patches,train,F1,Artificial,0.872
unet_no_patches,train,F1,Woodland,0.859
unet_no_patches,train,F1,Arable,0.915
unet_no_patches,train,F1,Frygana,0.854
unet_no_patches,train,F1,Bareland,0.842
unet_no_patches,train,F1,Water,0.955
unet_no_patches,train,F1,Permanent,0.86
unet_no_patches,test,Precision,Unknown,0.031
unet_no_patches,test,Precision,Artificial,0.818
unet_no_patches,test,Precision,Woodland,0.696
unet_no_patches,test,Precision,Arable,0.786
unet_no_patches,test,Precision,Frygana,0.639
unet_no_patches,test,Precision,Bareland,0.515
unet_no_patches,test,Precision,Water,0.868
unet_no_patches,test,Precision,Permanent,0.634
unet_no_patches,test,Recall,Unknown,0.077
unet_no_patches,test,Recall,Artificial,0.846
unet_no_patches,test,Recall,Woodland,0.861
unet_no_patches,test,Recall,Arable,0.768
unet_no_patches,test,Recall,Frygana,0.48
unet_no_patches,test,Recall,Bareland,0.503
unet_no_patches,test,Recall,Water,0.864
unet_no_patches,test,Recall,Permanent,0.734
unet_no_patches,test,F1,Unknown,0.044
unet_no_patches,test,F1,Artificial,0.832
unet_no_patches,test,F1,Woodland,0.77
unet_no_patches,test,F1,Arable,0.777
unet_no_patches,test,F1,Frygana,0.548
unet_no_patches,test,F1,Bareland,0.509
unet_no_patches,test,F1,Water,0.866
unet_no_patches,test,F1,Permanent,0.681
unet_no_patches,lowres,Precision,Unknown,0.035
unet_no_patches,lowres,Precision,Artificial,0.34
unet_no_patches,lowres,Precision,Woodland,0.285
unet_no_patches,lowres,Precision,Arable,0.587
unet_no_patches,lowres,Precision,Frygana,0.72
unet_no_patches,lowres,Precision,Bareland,0.405
unet_no_patches,lowres,Precision,Water,0.094
unet_no_patches,lowres,Precision,Permanent,0.115
unet_no_patches,lowres,Recall,Unknown,0.004
unet_no_patches,lowres,Recall,Artificial,0.828
unet_no_patches,lowres,Recall,Woodland,0.543
unet_no_patches,lowres,Recall,Arable,0.272
unet_no_patches,lowres,Recall,Frygana,0.226
unet_no_patches,lowres,Recall,Bareland,0.421
unet_no_patches,lowres,Recall,Water,0.628
unet_no_patches,lowres,Recall,Permanent,0.134
unet_no_patches,lowres,F1,Unknown,0.007
unet_no_patches,lowres,F1,Artificial,0.482
unet_no_patches,lowres,F1,Woodland,0.374
unet_no_patches,lowres,F1,Arable,0.372
unet_no_patches,lowres,F1,Frygana,0.345
unet_no_patches,lowres,F1,Bareland,0.413
unet_no_patches,lowres,F1,Water,0.163
unet_no_patches,lowres,F1,Permanent,0.124
yolo,train,Precision,Unknown,0.018
yolo,train,Precision,Artificial,0.598
yolo,train,Precision,Woodland,0.653
yolo,train,Precision,Arable,0.528
yolo,train,Precision,Frygana,0.753
yolo,train,Precision,Bareland,0.678
yolo,train,Precision,Water,0.253
yolo,train,Precision,Permanent,0.827
yolo,train,Recall,Unknown,0.037
yolo,train,Recall,Artificial,0.895
yolo,train,Recall,Woodland,0.886
yolo,train,Recall,Arable,0.824
yolo,train,Recall,Frygana,0.162
yolo,train,Recall,Bareland,0.399
yolo,train,Recall,Water,0.655
yolo,train,Recall,Permanent,0.35
yolo,train,F1,Unknown,0.024
yolo,train,F1,Artificial,0.717
yolo,train,F1,Woodland,0.752
yolo,train,F1,Arable,0.643
yolo,train,F1,Frygana,0.267
yolo,train,F1,Bareland,0.502
yolo,train,F1,Water,0.365
yolo,train,F1,Permanent,0.492
yolo,test,Precision,Unknown,0.011
yolo,test,Precision,Artificial,0.671
yolo,test,Precision,Woodland,0.658
yolo,test,Precision,Arable,0.642
yolo,test,Precision,Frygana,0.436
yolo,test,Precision,Bareland,0.458
yolo,test,Precision,Water,0.107
yolo,test,Precision,Permanent,0.763
yolo,test,Recall,Unknown,0.033
yolo,test,Recall,Artificial,0.907
yolo,test,Recall,Woodland,0.859
yolo,test,Recall,Arable,0.719
yolo,test,Recall,Frygana,0.069
yolo,test,Recall,Bareland,0.236
yolo,test,Recall,Water,0.382
yolo,test,Recall,Permanent,0.732
yolo,test,F1,Unknown,0.016
yolo,test,F1,Artificial,0.772
yolo,test,F1,Woodland,0.745
yolo,test,F1,Arable,0.678
yolo,test,F1,Frygana,0.12
yolo,test,F1,Bareland,0.311
yolo,test,F1,Water,0.167
yolo,test,F1,Permanent,0.747
yolo,lowres,Precision,Unknown,0.032
yolo,lowres,Precision,Artificial,0.285
yolo,lowres,Precision,Woodland,0.261
yolo,lowres,Precision,Arable,0.324
yolo,lowres,Precision,Frygana,0.634
yolo,lowres,Precision,Bareland,0.494
yolo,lowres,Precision,Water,0.117
yolo,lowres,Precision,Permanent,0.093
yolo,lowres,Recall,Unknown,0.042
yolo,lowres,Recall,Artificial,0.751
yolo,lowres,Recall,Woodland,0.602
yolo,lowres,Recall,Arable,0.452
yolo,lowres,Recall,Frygana,0.167
yolo,lowres,Recall,Bareland,0.135
yolo,lowres,Recall,Water,0.71
yolo,lowres,Recall,Permanent,0.159
yolo,lowres,F1,Unknown,0.037
yolo,lowres,F1,Artificial,0.413
yolo,lowres,F1,Woodland,0.364
yolo,lowres,F1,Arable,0.377
yolo,lowres,F1,Frygana,0.265
yolo,lowres,F1,Bareland,0.212
yolo,lowres,F1,Water,0.201
yolo,lowres,F1,Permanent,0.117
random_forest,train,Precision,Unknown,0.994
random_forest,train,Precision,Artificial,0.776
random_forest,train,Precision,Woodland,0.734
random_forest,train,Precision,Arable,0.65
random_forest,train,Precision,Frygana,0.575
random_forest,train,Precision,Bareland,0.647
random_forest,train,Precision,Water,0.971
random_forest,train,Precision,Permanent,0.498
random_forest,train,Recall,Unknown,0.008
random_forest,train,Recall,Artificial,0.699
random_forest,train,Recall,Woodland,0.786
